pclass,survived,sex,age,sibsp,parch,fare,cabin,embarked,title
2,0,male,37.0,1,0,26.0,,S,Mr
2,0,female,29.0,1,0,26.0,,S,Mrs
2,1,female,25.0,1,1,30.0,,S,Miss
2,1,female,45.0,0,2,30.0,,S,Mrs
2,0,male,29.0,1,0,26.0,,S,Mr
2,1,female,28.0,1,0,26.0,,S,Mrs
2,0,male,29.0,0,0,10.5,,S,Mr
2,0,male,28.0,0,0,13.0,,S,Mr
2,1,male,24.0,0,0,10.5,,S,Mr
2,1,female,8.0,0,2,26.25,,S,Miss
2,0,male,31.0,1,1,26.25,,S,Mr
2,1,female,31.0,1,1,26.25,,S,Mrs
2,1,female,22.0,0,0,10.5,F33,S,Mrs
2,0,female,30.0,0,0,13.0,,S,Mrs
2,0,female,,0,0,21.0,,S,Mrs
2,0,male,21.0,0,0,11.5,,S,Mr
2,0,male,,0,0,0.0,,S,Mr
2,1,male,8.0,1,1,36.75,,S,Master
2,0,male,18.0,0,0,73.5,,S,Mr
2,1,female,48.0,0,2,36.75,,S,Mrs
2,1,female,28.0,0,0,13.0,,S,Miss
2,0,male,32.0,0,0,13.0,,S,Mr
2,0,male,17.0,0,0,73.5,,S,Mr
2,0,male,29.0,1,0,27.7208,,C,Mr
2,1,female,24.0,1,0,27.7208,,C,Mrs
2,0,male,25.0,0,0,31.5,,S,Mr
2,0,male,18.0,0,0,73.5,,S,Mr
2,1,female,18.0,0,1,23.0,,S,Miss
2,1,female,34.0,0,1,23.0,,S,Mrs
2,0,male,54.0,0,0,26.0,,S,Mr
2,1,male,8.0,0,2,32.5,,S,Master
2,0,male,42.0,1,1,32.5,,S,Mr
2,1,female,34.0,1,1,32.5,,S,Mrs
2,1,female,27.0,1,0,13.8583,,C,Miss
2,1,female,30.0,1,0,13.8583,,C,Miss
2,0,male,23.0,0,0,13.0,,S,Mr
2,0,male,21.0,0,0,13.0,,S,Mr
2,0,male,18.0,0,0,13.0,,S,Mr
2,0,male,40.0,1,0,26.0,,S,Mr
2,1,female,29.0,1,0,26.0,,S,Mrs
2,0,male,18.0,0,0,10.5,,S,Mr
2,0,male,36.0,0,0,13.0,,S,Mr
2,0,male,,0,0,0.0,,S,Mr
2,0,female,38.0,0,0,13.0,,S,Miss
2,0,male,35.0,0,0,26.0,,S,Mr
2,0,male,38.0,1,0,21.0,,S,Mr
2,0,male,34.0,1,0,21.0,,S,Mr
2,1,female,34.0,0,0,13.0,,S,Miss
2,0,male,16.0,0,0,26.0,,S,Mr
2,0,male,26.0,0,0,10.5,,S,Mr
2,0,male,47.0,0,0,10.5,,S,Mr
2,0,male,21.0,1,0,11.5,,S,Mr
2,0,male,21.0,1,0,11.5,,S,Mr
2,0,male,24.0,0,0,13.5,,S,Mr
2,0,male,24.0,0,0,13.0,,S,Mr
2,0,male,34.0,0,0,13.0,,S,Mr
2,0,male,30.0,0,0,13.0,,S,Mr
2,0,male,52.0,0,0,13.0,,S,Mr
2,0,male,30.0,0,0,13.0,,S,Mr
2,1,male,0.6667,1,1,14.5,,S,Master
2,1,female,24.0,0,2,14.5,,S,Mrs
2,0,male,44.0,0,0,13.0,,S,Mr
2,1,female,6.0,0,1,33.0,,S,Miss
2,0,male,28.0,0,1,33.0,,S,Other
2,1,male,62.0,0,0,10.5,,S,Mr
2,0,male,30.0,0,0,10.5,,S,Mr
2,1,female,7.0,0,2,26.25,,S,Miss
2,0,male,43.0,1,1,26.25,,S,Mr
2,1,female,45.0,1,1,26.25,,S,Mrs
2,1,female,24.0,1,2,65.0,,S,Miss
2,1,female,24.0,1,2,65.0,,S,Miss
2,0,male,49.0,1,2,65.0,,S,Mr
2,1,female,48.0,1,2,65.0,,S,Mrs
2,1,female,55.0,0,0,16.0,,S,Mrs
2,0,male,24.0,2,0,73.5,,S,Mr
2,0,male,32.0,2,0,73.5,,S,Mr
2,0,male,21.0,2,0,73.5,,S,Mr
2,0,female,18.0,1,1,13.0,,S,Miss
2,1,female,20.0,2,1,23.0,,S,Miss
2,0,male,23.0,2,1,11.5,,S,Mr
2,0,male,36.0,0,0,13.0,,S,Mr
2,1,female,54.0,1,3,23.0,,S,Mrs
2,0,male,50.0,0,0,13.0,,S,Mr
2,0,male,44.0,1,0,26.0,,S,Mr
2,1,female,29.0,1,0,26.0,,S,Mrs
2,0,male,21.0,0,0,73.5,,S,Mr
2,1,male,42.0,0,0,13.0,,S,Mr
2,0,male,63.0,1,0,26.0,,S,Mr
2,0,female,60.0,1,0,26.0,,S,Mrs
2,0,male,33.0,0,0,12.275,,S,Mr
2,1,female,17.0,0,0,10.5,,S,Miss
2,0,male,42.0,1,0,27.0,,S,Mr
2,1,female,24.0,2,1,27.0,,S,Mrs
2,0,male,47.0,0,0,15.0,,S,Mr
2,0,male,24.0,2,0,31.5,,S,Mr
2,0,male,22.0,2,0,31.5,,S,Mr
2,0,male,32.0,0,0,10.5,,S,Mr
2,1,female,23.0,0,0,13.7917,D,C,Mrs
2,0,male,34.0,1,0,26.0,,S,Mr
2,1,female,24.0,1,0,26.0,,S,Mrs
2,0,female,22.0,0,0,21.0,,S,Mrs
2,1,female,,0,0,12.35,E101,Q,Miss
2,0,male,35.0,0,0,12.35,,Q,Mr
2,1,female,45.0,0,0,13.5,,S,Mrs
2,0,male,57.0,0,0,12.35,,Q,Other
2,0,male,,0,0,0.0,,S,Mr
2,0,male,31.0,0,0,10.5,,S,Mr
2,0,female,26.0,1,1,26.0,,S,Mrs
2,0,male,30.0,1,1,26.0,,S,Other
2,0,male,,0,0,10.7083,,Q,Mr
2,1,female,1.0,1,2,41.5792,,C,Miss
2,1,female,3.0,1,2,41.5792,,C,Miss
2,0,male,25.0,1,2,41.5792,,C,Mr
2,1,female,22.0,1,2,41.5792,,C,Mrs
2,1,female,17.0,0,0,12.0,,C,Miss
2,1,female,,0,0,33.0,,S,Miss
2,1,female,34.0,0,0,10.5,F33,S,Mrs
2,0,male,36.0,0,0,12.875,D,C,Mr
2,0,male,24.0,0,0,10.5,,S,Mr
2,0,male,61.0,0,0,12.35,,Q,Mr
2,0,male,50.0,1,0,26.0,,S,Mr
2,1,female,42.0,1,0,26.0,,S,Mrs
2,0,female,57.0,0,0,10.5,E77,S,Mrs
2,0,male,,0,0,15.0458,D,C,Mr
2,1,male,1.0,0,2,37.0042,,C,Master
2,0,male,31.0,1,1,37.0042,,C,Mr
2,1,female,24.0,1,1,37.0042,,C,Mrs
2,0,male,,0,0,15.5792,,C,Mr
2,0,male,30.0,0,0,13.0,,S,Mr
2,0,male,40.0,0,0,16.0,,S,Mr
2,0,male,32.0,0,0,13.5,,S,Mr
2,0,male,30.0,0,0,13.0,,S,Mr
2,0,male,46.0,0,0,26.0,,S,Mr
2,1,female,13.0,0,1,19.5,,S,Miss
2,1,female,41.0,0,1,19.5,,S,Mrs
2,1,male,19.0,0,0,10.5,,S,Mr
2,0,male,39.0,0,0,13.0,,S,Mr
2,0,male,48.0,0,0,13.0,,S,Mr
2,0,male,70.0,0,0,10.5,,S,Mr
2,0,male,27.0,0,0,13.0,,S,Other
2,0,male,54.0,0,0,14.0,,S,Other
2,0,male,39.0,0,0,26.0,,S,Mr
2,0,male,16.0,0,0,10.5,,S,Mr
2,0,male,62.0,0,0,9.6875,,Q,Mr
2,0,male,32.5,1,0,30.0708,,C,Mr
2,1,female,14.0,1,0,30.0708,,C,Mrs
2,1,male,2.0,1,1,26.0,F2,S,Master
2,1,male,3.0,1,1,26.0,F2,S,Master
2,0,male,36.5,0,2,26.0,F2,S,Mr
2,0,male,26.0,0,0,13.0,F2,S,Mr
2,0,male,19.0,1,1,36.75,,S,Mr
2,0,male,28.0,0,0,13.5,,S,Mr
2,1,male,20.0,0,0,13.8625,D38,C,Mr
2,1,female,29.0,0,0,10.5,F33,S,Mrs
2,0,male,39.0,0,0,13.0,,S,Mr
2,1,male,22.0,0,0,10.5,,S,Mr
2,1,male,,0,0,13.8625,,C,Mr
2,0,male,23.0,0,0,10.5,,S,Other
2,1,male,29.0,0,0,13.8583,,C,Mr
2,0,male,28.0,0,0,10.5,,S,Mr
2,0,male,,0,0,0.0,,S,Mr
2,1,female,50.0,0,1,26.0,,S,Mrs
2,0,male,19.0,0,0,10.5,,S,Mr
2,0,male,,0,0,15.05,,C,Mr
